"G Bm Em Em7 Em C C Cmaj7 C9 Cmaj7 G Bm Em Em7 Em C Em Am Cmaj7 Cadd9 Cmaj7 G Bm Em C F Em C F Em Cmaj7 Em C C Bm G Am7 Em E A E E A E C G D C E C G D C E D C D G"	"A Day in the Life Tab by The Beatles - E-Chords"	"cifra/idmusica/11602/keyb/true.htm"
"G4 G C G F9 G C G F9 G C D7 G C G C G F9 G C G F9 G C D7 G C G Bm Em Bm G Em Am D7 G F G G F G"	"A hard Day's Night Tab by The Beatles - E-Chords"	"cifra/idmusica/31752/keyb/true.htm"
"G7sus4 G C9 G F G C9 G F G C D G C9 G G C9 G F G G C9 G F G C D G C9 G Bm Em Bm G Em C D"	"A Hard Days Night Tab by The Beatles - E-Chords"	"cifra/idmusica/12900/keyb/true.htm"
"F#m A E F#m F#m F5+ A B F#m F5+ A B F#m A E F#m Bm F#m Bm F#m A B F#m B A E F#m F#m F5+ A B F#m F5+ A B F#m A E F#m Bm F#m Bm F#m A B F#m B A E F#m Bm F#m Bm F#m Bm F#m"	"A Taste of Honey Tab by The Beatles - E-Chords"	"cifra/idmusica/11603/keyb/true.htm"
"D Bm F#m Em7 A A7 D Bm F#m Em7 Gm D A7sus4 A7 G D A7 G D D Bm F#m Em7 A A7 D Bm F#m Em7 A A7 D A7sus4 A7 G D A7 G D D Bm F#m Em7 Gm D Bm F#m Em7 A A7 D A7sus4 A7 G D A7 G D"	"Across The Universe Tab by The Beatles - E-Chords"	"cifra/idmusica/15635/keyb/true.htm"
"C# A#m Fm D#m7 G#7 C# A#m Fm D#m7 F#m C# G#7 G# F# C# G# F# C# C# A#m Fm D#m7 G#7 C# A#m Fm D#m7 G#7 C# G#7 G# F# C# G# F# C# C# A#m Fm D#m7 G#7 C# A#m Fm D#m7 G#7 C# G#7 G# F# C# G# F# C#"	"Across the universe (ver. 2) Tab by The Beatles - E-Chords"	"cifra/idmusica/114724/keyb/true.htm"
"D Bm F#m Em7 A A7 D Bm F#m Em7 Gm D A A A7 G D A A7 G D D Bm F#m Em7 A A7 D Bm F#m Em7 A A7 D A A A7 G D A A7 G D D Bm F#m Em7 Gm D Bm F#m Em7 A A7 D A A A7 G D A A7 G D D"	"Across Universe Tab by The Beatles - E-Chords"	"cifra/idmusica/143861/keyb/true.htm"
"C F C G C F G C G G7 C G C G C D7 G G7 C F C G C F G C C F C G C F G C"	"Act Naturally Tab by The Beatles - E-Chords"	"cifra/idmusica/5563/keyb/true.htm"
"E7 A Bm E A Bm E D E F#m D E A A A7 D A B7 E"	"Ain't She Sweet Tab by The Beatles - E-Chords"	"cifra/idmusica/92460/keyb/true.htm"
"G6 Cm7/5- D9 D7 G6 Cm7/5- D9 D7 G B7 E E7 A7 D7 G D7 G6 Cm7/5- D9 D7 G6 Cm7/5- D9 D7 G B7 E E7 A7 D7 G Gmaj7 G7 C C/B Am7 Edim G Am7 G Gmaj7 G7 C C/B Am7 Edim G Gdim Am7 D7 G6 Cm7/5- D9 D7 G6 Cm7/5- D9 D7 G B7 E E7 A7 D7 G"	"Aint she sweet Tab by The Beatles - E-Chords"	"cifra/idmusica/76609/keyb/true.htm"
"B7 E Fº F#m B7 E Fº F#m B7 E G#m C#7 F#7 B7 E A E A B7"	"Ain´t She Sweet Tab by The Beatles - E-Chords"	"cifra/idmusica/62950/keyb/true.htm"
"E5+/9/4 C#m E C#m F#m Am E C#m E C#m F#m Am E A C#m A E A E C#m E C#m F#m Am E A C#m A E A E A E E5+/9/4"	"All I've Got To Do Tab by The Beatles - E-Chords"	"cifra/idmusica/17242/keyb/true.htm"
"F#m B7 E C#m A F#m D B7 F#m B7 E C#m A B7 E F#m B7 E C#m A F#m D B7 F#m B7 E C#m A B7 E C#m C#m E C#m C#m E F#m B7 E C#m A F#m D B7 F#m B7 E C#m A B7 E C#m E"	"All My Loving Tab by The Beatles - E-Chords"	"cifra/idmusica/5575/keyb/true.htm"
"G C D C C G C G C G C D"	"All Shook Up Tab by The Beatles - E-Chords"	"cifra/idmusica/125146/keyb/true.htm"
"F C7 F C7 F F C7 F C7 F F Bb F Bb C7 F C7 F"	"All Together Now Tab by The Beatles - E-Chords"	"cifra/idmusica/17243/keyb/true.htm"
